rep	time	treatment	embryo	endosperm	ratio
rep1	0	m-2.5C	0.48	3.19	0.15
rep2	0	m-2.5C	0.42	3.21	0.13
rep3	0	m-2.5C	0.47	3.15	0.15
rep4	0	m-2.5C	0.45	3.31	0.14
rep5	0	m-2.5C	0.50	3.09	0.16
rep6	0	m-2.5C	0.44	2.88	0.15
rep7	0	m-2.5C	0.39	2.79	0.14
rep8	0	m-2.5C	0.42	2.57	0.16
rep9	0	m-2.5C	0.42	2.35	0.18
rep10	0	m-2.5C	0.25	2.37	0.11
rep1	0	0C	0.48	3.19	0.15
rep2	0	0C	0.42	3.21	0.13
rep3	0	0C	0.47	3.15	0.15
rep4	0	0C	0.45	3.31	0.14
rep5	0	0C	0.50	3.09	0.16
rep6	0	0C	0.44	2.88	0.15
rep7	0	0C	0.39	2.79	0.14
rep8	0	0C	0.42	2.57	0.16
rep9	0	0C	0.42	2.35	0.18
rep10	0	0C	0.25	2.37	0.11
rep1	0	2.5C	0.48	3.19	0.15
rep2	0	2.5C	0.42	3.21	0.13
rep3	0	2.5C	0.47	3.15	0.15
rep4	0	2.5C	0.45	3.31	0.14
rep5	0	2.5C	0.50	3.09	0.16
rep6	0	2.5C	0.44	2.88	0.15
rep7	0	2.5C	0.39	2.79	0.14
rep8	0	2.5C	0.42	2.57	0.16
rep9	0	2.5C	0.42	2.35	0.18
rep10	0	2.5C	0.25	2.37	0.11
rep1	0	5C	0.48	3.19	0.15
rep2	0	5C	0.42	3.21	0.13
rep3	0	5C	0.47	3.15	0.15
rep4	0	5C	0.45	3.31	0.14
rep5	0	5C	0.50	3.09	0.16
rep6	0	5C	0.44	2.88	0.15
rep7	0	5C	0.39	2.79	0.14
rep8	0	5C	0.42	2.57	0.16
rep9	0	5C	0.42	2.35	0.18
rep10	0	5C	0.25	2.37	0.11
rep1	0	7.5C	0.48	3.19	0.15
rep2	0	7.5C	0.42	3.21	0.13
rep3	0	7.5C	0.47	3.15	0.15
rep4	0	7.5C	0.45	3.31	0.14
rep5	0	7.5C	0.50	3.09	0.16
rep6	0	7.5C	0.44	2.88	0.15
rep7	0	7.5C	0.39	2.79	0.14
rep8	0	7.5C	0.42	2.57	0.16
rep9	0	7.5C	0.42	2.35	0.18
rep10	0	7.5C	0.25	2.37	0.11
rep1	0	10C	0.48	3.19	0.15
rep2	0	10C	0.42	3.21	0.13
rep3	0	10C	0.47	3.15	0.15
rep4	0	10C	0.45	3.31	0.14
rep5	0	10C	0.50	3.09	0.16
rep6	0	10C	0.44	2.88	0.15
rep7	0	10C	0.39	2.79	0.14
rep8	0	10C	0.42	2.57	0.16
rep9	0	10C	0.42	2.35	0.18
rep10	0	10C	0.25	2.37	0.11
rep1	0	dark	0.48	3.19	0.15
rep2	0	dark	0.42	3.21	0.13
rep3	0	dark	0.47	3.15	0.15
rep4	0	dark	0.45	3.31	0.14
rep5	0	dark	0.50	3.09	0.16
rep6	0	dark	0.44	2.88	0.15
rep7	0	dark	0.39	2.79	0.14
rep8	0	dark	0.42	2.57	0.16
rep9	0	dark	0.42	2.35	0.18
rep10	0	dark	0.25	2.37	0.11
rep1	14	m-2.5C	0.28	2.72	0.10
rep2	14	m-2.5C	0.30	3.00	0.10
rep3	14	m-2.5C	0.18	2.61	0.07
rep4	14	m-2.5C	0.32	3.19	0.10
rep5	14	m-2.5C	0.35	3.04	0.12
rep6	14	m-2.5C	0.24	2.85	0.08
rep7	14	m-2.5C	0.17	2.37	0.07
rep8	14	m-2.5C	0.20	2.10	0.10
rep9	14	m-2.5C	0.39	2.81	0.14
rep10	14	m-2.5C	0.19	2.07	0.09
rep1	14	0C	0.26	2.49	0.10
rep2	14	0C	0.23	3.01	0.08
rep3	14	0C	0.40	2.92	0.14
rep4	14	0C	0.28	2.80	0.10
rep5	14	0C	0.23	3.25	0.07
rep6	14	0C	0.26	2.76	0.09
rep7	14	0C	0.28	2.77	0.10
rep8	14	0C	0.25	2.59	0.10
rep9	14	0C	0.23	2.55	0.09
