replicate	time	treatment	wak	cho	tre	fle	bas	leo	ber	her
rep1	0	-2.5.C	0.107049608	0.211838006	0.081395349	0.134328358	0.150470219	0.107648725	0.058047493	0.06360424
rep2	0	-2.5.C	0.132716049	0.142361111	0.093567251	0.151515152	0.130841121	0.122754491	0.119113573	0.11409396
rep3	0	-2.5.C	0.105113636	0.225806452	0.133550489	0.161971831	0.149206349	0.168246445	0.10178117	0.138743455
rep4	0	-2.5.C	0.093670886	0.191780822	0.147410359	0.190322581	0.135951662	0.068376068	0.153594771	0.149253731
rep5	0	-2.5.C	0.067340067	0.190600522	0.112068966	0.21656051	0.161812298	0.132307692	0.131498471	0.113573407
rep6	0	-2.5.C	0.098039216	0.171597633	0.094674556	0.179487179	0.152777778	0.153409091	0.112044818	0.099415205
rep7	0	-2.5.C	0.096045198	0.22962963	0.133079848	0.177177177	0.139784946	0.083333333	0.085714286	0.168350168
rep8	0	-2.5.C	0.100795756	0.182389937	0.132	0.14516129	0.163424125	0.125523013	0.109467456	0.10230179
rep9	0	-2.5.C	0.145772595	0.208480565	0.121568627	0.080985915	0.178723404	0.094707521	0.060790274	0.113043478
rep10	0	-2.5.C	0.099415205	0.151335312	0.089700997	0.226480836	0.105485232	0.11898017	0.108695652	0.122507123
rep1	0	0.C	0.107049608	0.211838006	0.081395349	0.134328358	0.150470219	0.107648725	0.058047493	0.06360424
rep2	0	0.C	0.132716049	0.142361111	0.093567251	0.151515152	0.130841121	0.122754491	0.119113573	0.11409396
rep3	0	0.C	0.105113636	0.225806452	0.133550489	0.161971831	0.149206349	0.168246445	0.10178117	0.138743455
rep4	0	0.C	0.093670886	0.191780822	0.147410359	0.190322581	0.135951662	0.068376068	0.153594771	0.149253731
rep5	0	0.C	0.067340067	0.190600522	0.112068966	0.21656051	0.161812298	0.132307692	0.131498471	0.113573407
rep6	0	0.C	0.098039216	0.171597633	0.094674556	0.179487179	0.152777778	0.153409091	0.112044818	0.099415205
rep7	0	0.C	0.096045198	0.22962963	0.133079848	0.177177177	0.139784946	0.083333333	0.085714286	0.168350168
rep8	0	0.C	0.100795756	0.182389937	0.132	0.14516129	0.163424125	0.125523013	0.109467456	0.10230179
rep9	0	0.C	0.145772595	0.208480565	0.121568627	0.080985915	0.178723404	0.094707521	0.060790274	0.113043478
rep10	0	0.C	0.099415205	0.151335312	0.089700997	0.226480836	0.105485232	0.11898017	0.108695652	0.122507123
rep1	0	2.5.C	0.107049608	0.211838006	0.081395349	0.134328358	0.150470219	0.107648725	0.058047493	0.06360424
rep2	0	2.5.C	0.132716049	0.142361111	0.093567251	0.151515152	0.130841121	0.122754491	0.119113573	0.11409396
rep3	0	2.5.C	0.105113636	0.225806452	0.133550489	0.161971831	0.149206349	0.168246445	0.10178117	0.138743455
rep4	0	2.5.C	0.093670886	0.191780822	0.147410359	0.190322581	0.135951662	0.068376068	0.153594771	0.149253731
rep5	0	2.5.C	0.067340067	0.190600522	0.112068966	0.21656051	0.161812298	0.132307692	0.131498471	0.113573407
