population	Tb	Tc	To	?50b	initial.embryo	seed.dry.mass	latitude	latitude.ext	altitude	altitude.ext	mean.max.hot	mean.min.cold	mean.pre.dry
HER	-5.69	11.76	4.22	625	0.11849	1.938313131	60.57494	60.57493973	37	2	17.2	0.6	94
BER	-4.62	11.48	3.8	476.19	0.10407	1.798171717	60.335375	60.33537674	97	76	17.5	-0.7	101
FLE	-10.5	12.53	4.52	1250	0.1664	2.039929293	58.06815	58.06814957	19	13	18.1	-1.9	57
SCO	-1.72	12.69	2.74	344.83	0.12591	1.626757576	56.74648889	56.74649048	252	289	17.8	-2.5	52
WAK	-5.07	13.29	3.79	666.67	0.1046	1.748070707	51.07021944	51.07022095	114	96	21.6	0.7	43
BAS	-3.5	12.65	2.88	384.62	0.14685	1.428989899	43.02855556	43.02855682	809	1011	22.7	-0.7	62
LEO	-8.81	12.89	2.97	625	0.11753	1.657808081	42.90739444	42.90739441	1426	1580	22.1	-3.8	45
CHO	-5.17	13.48	4.15	434.78	0.19058	1.238676768	40.30726944	40.30727005	1398	1826	24.6	-4.1	22
TRE 	-5.77	15.47	4.07	454.55	0.1139	1.20559596	40.36680556	40.36680603	1555	1736	25.1	-3.7	20
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
