rep	time	treatment	embryo	endosperm	ratio
rep1	0	m-2.5C	0.18	2.83	0.06
rep2	0	m-2.5C	0.34	2.98	0.11
rep3	0	m-2.5C	0.53	3.82	0.14
rep4	0	m-2.5C	0.50	3.35	0.15
rep5	0	m-2.5C	0.41	3.61	0.11
rep6	0	m-2.5C	0.34	3.42	0.10
rep7	0	m-2.5C	0.50	2.97	0.17
rep8	0	m-2.5C	0.40	3.91	0.10
rep9	0	m-2.5C	0.39	3.45	0.11
rep10	0	m-2.5C	0.43	3.51	0.12
rep1	0	0C	0.18	2.83	0.06
rep2	0	0C	0.34	2.98	0.11
rep3	0	0C	0.53	3.82	0.14
rep4	0	0C	0.50	3.35	0.15
rep5	0	0C	0.41	3.61	0.11
rep6	0	0C	0.34	3.42	0.10
rep7	0	0C	0.50	2.97	0.17
rep8	0	0C	0.40	3.91	0.10
rep9	0	0C	0.39	3.45	0.11
rep10	0	0C	0.43	3.51	0.12
rep1	0	2.5C	0.18	2.83	0.06
rep2	0	2.5C	0.34	2.98	0.11
rep3	0	2.5C	0.53	3.82	0.14
rep4	0	2.5C	0.50	3.35	0.15
rep5	0	2.5C	0.41	3.61	0.11
rep6	0	2.5C	0.34	3.42	0.10
rep7	0	2.5C	0.50	2.97	0.17
rep8	0	2.5C	0.40	3.91	0.10
rep9	0	2.5C	0.39	3.45	0.11
rep10	0	2.5C	0.43	3.51	0.12
rep1	0	5C	0.18	2.83	0.06
rep2	0	5C	0.34	2.98	0.11
rep3	0	5C	0.53	3.82	0.14
rep4	0	5C	0.50	3.35	0.15
rep5	0	5C	0.41	3.61	0.11
rep6	0	5C	0.34	3.42	0.10
rep7	0	5C	0.50	2.97	0.17
rep8	0	5C	0.40	3.91	0.10
rep9	0	5C	0.39	3.45	0.11
rep10	0	5C	0.43	3.51	0.12
rep1	0	7.5C	0.18	2.83	0.06
rep2	0	7.5C	0.34	2.98	0.11
rep3	0	7.5C	0.53	3.82	0.14
rep4	0	7.5C	0.50	3.35	0.15
rep5	0	7.5C	0.41	3.61	0.11
rep6	0	7.5C	0.34	3.42	0.10
rep7	0	7.5C	0.50	2.97	0.17
rep8	0	7.5C	0.40	3.91	0.10
rep9	0	7.5C	0.39	3.45	0.11
rep10	0	7.5C	0.43	3.51	0.12
rep1	0	10C	0.18	2.83	0.06
rep2	0	10C	0.34	2.98	0.11
rep3	0	10C	0.53	3.82	0.14
rep4	0	10C	0.50	3.35	0.15
rep5	0	10C	0.41	3.61	0.11
rep6	0	10C	0.34	3.42	0.10
rep7	0	10C	0.50	2.97	0.17
rep8	0	10C	0.40	3.91	0.10
rep9	0	10C	0.39	3.45	0.11
rep10	0	10C	0.43	3.51	0.12
rep1	0	dark	0.18	2.83	0.06
rep2	0	dark	0.34	2.98	0.11
rep3	0	dark	0.53	3.82	0.14
rep4	0	dark	0.50	3.35	0.15
rep5	0	dark	0.41	3.61	0.11
rep6	0	dark	0.34	3.42	0.10
rep7	0	dark	0.50	2.97	0.17
rep8	0	dark	0.40	3.91	0.10
rep9	0	dark	0.39	3.45	0.11
rep10	0	dark	0.43	3.51	0.12
rep1	14	m-2.5C	0.34	3.36	0.10
rep2	14	m-2.5C	0.36	2.90	0.12
rep3	14	m-2.5C	0.36	3.23	0.11
rep4	14	m-2.5C	0.42	2.87	0.15
rep5	14	m-2.5C	0.47	3.51	0.13
rep6	14	m-2.5C	0.37	3.06	0.12
rep7	14	m-2.5C	0.41	3.37	0.12
rep8	14	m-2.5C	0.24	3.25	0.07
rep9	14	m-2.5C	0.48	3.50	0.14
rep10	14	m-2.5C	0.38	3.19	0.12
rep1	14	0C	0.47	3.37	0.14
rep2	14	0C	0.39	3.12	0.13
rep3	14	0C	0.35	2.80	0.13
rep4	14	0C	0.30	3.46	0.09
rep5	14	0C	0.34	3.80	0.09
rep6	14	0C	0.44	3.70	0.12
rep7	14	0C	0.40	3.31	0.12
rep8	14	0C	0.51	3.06	0.17
rep9	14	0C	0.57	3.58	0.16
rep10	14	0C	0.43	2.97	0.14
rep1	14	2.5C	0.38	3.67	0.10
rep2	14	2.5C	0.59	3.72	0.16
rep3	14	2.5C	0.45	3.57	0.13
rep4	14	2.5C	0.43	3.56	0.12
rep5	14	2.5C	0.58	3.80	0.15
rep6	14	2.5C	0.61	3.61	0.17
rep7	14	2.5C	0.45	3.09	0.15
rep8	14	2.5C	0.50	3.81	0.13
rep9	14	2.5C	0.58	3.57	0.16
rep10	14	2.5C	0.49	3.51	0.14
rep1	14	5C	0.57	3.83	0.15
rep2	14	5C	0.49	3.32	0.15
rep3	14	5C	0.49	3.43	0.14
rep4	14	5C	0.56	3.81	0.15
rep5	14	5C	0.57	2.87	0.20
rep6	14	5C	0.67	3.61	0.19
rep7	14	5C	0.51	2.79	0.18
rep8	14	5C	0.45	2.91	0.15
rep9	14	5C	0.43	3.05	0.14
rep10	14	5C	0.35	3.46	0.10
rep1	14	7.5C	0.53	3.55	0.15
rep2	14	7.5C	0.64	2.85	0.22
rep3	14	7.5C	0.56	2.92	0.19
rep4	14	7.5C	0.35	3.04	0.12
rep5	14	7.5C	0.21	3.04	0.07
rep6	14	7.5C	0.58	3.61	0.16
rep7	14	7.5C	0.53	3.55	0.15
rep8	14	7.5C	0.47	3.55	0.13
rep9	14	7.5C	0.50	3.74	0.13
rep10	14	7.5C	0.41	4.13	0.10
rep1	14	10C	0.68	3.76	0.18
