rep	time	treatment	embryo	endosperm	ratio
rep1	0	m-2.5C	0.22	3.79	0.06
rep2	0	m-2.5C	0.43	3.61	0.12
rep3	0	m-2.5C	0.40	3.93	0.10
rep4	0	m-2.5C	0.47	3.06	0.15
rep5	0	m-2.5C	0.43	3.27	0.13
rep6	0	m-2.5C	0.40	3.57	0.11
rep7	0	m-2.5C	0.39	4.55	0.09
rep8	0	m-2.5C	0.37	3.38	0.11
rep9	0	m-2.5C	0.20	3.29	0.06
rep10	0	m-2.5C	0.35	3.22	0.11
rep1	0	0C	0.22	3.79	0.06
rep2	0	0C	0.43	3.61	0.12
rep3	0	0C	0.40	3.93	0.10
rep4	0	0C	0.47	3.06	0.15
rep5	0	0C	0.43	3.27	0.13
rep6	0	0C	0.40	3.57	0.11
rep7	0	0C	0.39	4.55	0.09
rep8	0	0C	0.37	3.38	0.11
rep9	0	0C	0.20	3.29	0.06
rep10	0	0C	0.35	3.22	0.11
rep1	0	2.5C	0.22	3.79	0.06
rep2	0	2.5C	0.43	3.61	0.12
rep3	0	2.5C	0.40	3.93	0.10
rep4	0	2.5C	0.47	3.06	0.15
rep5	0	2.5C	0.43	3.27	0.13
rep6	0	2.5C	0.40	3.57	0.11
rep7	0	2.5C	0.39	4.55	0.09
rep8	0	2.5C	0.37	3.38	0.11
rep9	0	2.5C	0.20	3.29	0.06
rep10	0	2.5C	0.35	3.22	0.11
rep1	0	5C	0.22	3.79	0.06
rep2	0	5C	0.43	3.61	0.12
rep3	0	5C	0.40	3.93	0.10
rep4	0	5C	0.47	3.06	0.15
rep5	0	5C	0.43	3.27	0.13
rep6	0	5C	0.40	3.57	0.11
rep7	0	5C	0.39	4.55	0.09
rep8	0	5C	0.37	3.38	0.11
rep9	0	5C	0.20	3.29	0.06
rep10	0	5C	0.35	3.22	0.11
rep1	0	7.5C	0.22	3.79	0.06
rep2	0	7.5C	0.43	3.61	0.12
rep3	0	7.5C	0.40	3.93	0.10
rep4	0	7.5C	0.47	3.06	0.15
rep5	0	7.5C	0.43	3.27	0.13
rep6	0	7.5C	0.40	3.57	0.11
rep7	0	7.5C	0.39	4.55	0.09
rep8	0	7.5C	0.37	3.38	0.11
rep9	0	7.5C	0.20	3.29	0.06
rep10	0	7.5C	0.35	3.22	0.11
rep1	0	10C	0.22	3.79	0.06
rep2	0	10C	0.43	3.61	0.12
rep3	0	10C	0.40	3.93	0.10
rep4	0	10C	0.47	3.06	0.15
rep5	0	10C	0.43	3.27	0.13
rep6	0	10C	0.40	3.57	0.11
rep7	0	10C	0.39	4.55	0.09
rep8	0	10C	0.37	3.38	0.11
rep9	0	10C	0.20	3.29	0.06
rep10	0	10C	0.35	3.22	0.11
rep1	0	dark	0.22	3.79	0.06
rep2	0	dark	0.43	3.61	0.12
rep3	0	dark	0.40	3.93	0.10
rep4	0	dark	0.47	3.06	0.15
rep5	0	dark	0.43	3.27	0.13
rep6	0	dark	0.40	3.57	0.11
rep7	0	dark	0.39	4.55	0.09
rep8	0	dark	0.37	3.38	0.11
rep9	0	dark	0.20	3.29	0.06
rep10	0	dark	0.35	3.22	0.11
rep1	14	m-2.5C	0.44	4.04	0.11
rep2	14	m-2.5C	0.40	3.75	0.11
rep3	14	m-2.5C	0.29	3.13	0.09
rep4	14	m-2.5C	0.45	3.18	0.14
rep5	14	m-2.5C	0.41	3.82	0.11
rep6	14	m-2.5C	0.26	3.41	0.08
rep7	14	m-2.5C	0.33	3.25	0.10
rep8	14	m-2.5C	0.29	3.68	0.08
rep9	14	m-2.5C	0.48	3.54	0.14
rep10	14	m-2.5C	0.31	3.30	0.09
rep1	14	0C	0.78	3.37	0.23
rep2	14	0C	0.83	3.43	0.24
rep3	14	0C	0.76	3.29	0.23
rep4	14	0C	0.76	4.17	0.18
rep5	14	0C	0.85	3.90	0.22
rep6	14	0C	0.81	3.30	0.25
rep7	14	0C	1.08	4.07	0.27
rep8	14	0C	0.78	3.48	0.22
rep9	14	0C	0.93	3.36	0.28
rep10	14	0C	0.64	3.00	0.21
rep1	14	2.5C	0.44	3.36	0.13
rep2	14	2.5C	0.50	3.48	0.14
rep3	14	2.5C	0.48	3.20	0.15
rep4	14	2.5C	0.45	3.35	0.13
rep5	14	2.5C	0.42	3.14	0.13
rep6	14	2.5C	0.38	3.17	0.12
rep7	14	2.5C	0.47	3.59	0.13
rep8	14	2.5C	0.40	3.16	0.13
rep9	14	2.5C	0.58	3.67	0.16
rep10	14	2.5C	0.38	3.60	0.11
rep1	14	5C	0.38	3.51	0.11
rep2	14	5C	0.49	3.22	0.15
rep3	14	5C	0.48	3.29	0.15
rep4	14	5C	0.35	2.90	0.12
rep5	14	5C	0.40	3.77	0.11
rep6	14	5C	0.33	3.22	0.10
rep7	14	5C	0.47	4.23	0.11
rep8	14	5C	0.37	3.71	0.10
rep9	14	5C	0.60	3.69	0.16
rep10	14	5C	0.36	3.39	0.11
rep1	14	7.5C	0.47	4.10	0.11
rep2	14	7.5C	0.40	2.97	0.13
rep3	14	7.5C	0.37	2.42	0.15
rep4	14	7.5C	0.37	3.11	0.12
rep5	14	7.5C	0.32	2.69	0.12
rep6	14	7.5C	0.37	3.36	0.11
rep7	14	7.5C	0.45	3.84	0.12
rep8	14	7.5C	0.48	3.78	0.13
rep9	14	7.5C	0.49	3.78	0.13
rep10	14	7.5C	0.47	3.15	0.15
rep1	14	10C	0.41	3.25	0.13
rep2	14	10C	0.46	3.63	0.13
rep3	14	10C	0.58	3.74	0.16
rep4	14	10C	0.43	3.20	0.13
rep5	14	10C	0.48	2.98	0.16
rep6	14	10C	0.38	3.77	0.10
rep7	14	10C	0.57	3.72	0.15
rep8	14	10C	0.47	4.46	0.11
rep9	14	10C	0.44	4.51	0.10
rep10	14	10C	0.52	3.29	0.16
rep1	14	dark	0.34	2.72	0.13
rep2	14	dark	0.46	3.15	0.15
rep3	14	dark	0.35	3.70	0.09
rep4	14	dark	0.43	3.62	0.12
rep5	14	dark	0.41	3.38	0.12
rep6	14	dark	0.59	3.26	0.18
rep7	14	dark	0.17	3.35	0.05
rep8	14	dark	0.47	3.44	0.14
rep9	14	dark	0.30	3.61	0.08
rep10	14	dark	0.35	4.06	0.09
rep1	28	m-2.5C	0.44	3.68	0.12
rep2	28	m-2.5C	0.47	3.61	0.13
rep3	28	m-2.5C	0.43	3.37	0.13
rep4	28	m-2.5C	0.40	3.78	0.11
rep5	28	m-2.5C	0.35	3.09	0.11
rep6	28	m-2.5C	0.34	3.83	0.09
rep7	28	m-2.5C	0.31	3.34	0.09
rep8	28	m-2.5C	0.31	33.10	0.01
rep9	28	m-2.5C	0.33	3.43	0.10
rep10	28	m-2.5C	0.39	3.46	0.11
rep1	28	0C	0.59	3.40	0.17
rep2	28	0C	0.40	3.30	0.12
rep3	28	0C	0.47	3.12	0.15
rep4	28	0C	0.46	3.22	0.14
rep5	28	0C	0.75	4.11	0.18
rep6	28	0C	0.52	3.66	0.14
rep7	28	0C	0.48	3.47	0.14
rep8	28	0C	0.75	4.27	0.18
rep9	28	0C	0.52	3.51	0.15
rep10	28	0C	0.58	3.33	0.17
rep1	28	2.5C	0.70	3.60	0.19
rep2	28	2.5C	0.64	2.81	0.23
rep3	28	2.5C	0.57	3.20	0.18
rep4	28	2.5C	0.34	3.63	0.09
rep5	28	2.5C	0.47	3.48	0.14
rep6	28	2.5C	0.56	3.70	0.15
rep7	28	2.5C	0.66	3.43	0.19
rep8	28	2.5C	0.67	3.69	0.18
rep9	28	2.5C	0.74	3.43	0.22
rep10	28	2.5C	0.52	3.21	0.16
rep1	28	5C	0.81	4.01	0.20
rep2	28	5C	0.51	3.56	0.14
rep3	28	5C	0.62	2.87	0.22
rep4	28	5C	0.72	3.73	0.19
rep5	28	5C	0.51	3.25	0.16
rep6	28	5C	0.43	3.23	0.13
rep7	28	5C	0.50	3.43	0.15
rep8	28	5C	0.67	4.07	0.16
rep9	28	5C	0.52	4.04	0.13
rep10	28	5C	0.69	3.13	0.22
rep1	28	7.5C	0.37	3.55	0.10
rep2	28	7.5C	0.58	3.34	0.17
rep3	28	7.5C	0.65	3.07	0.21
rep4	28	7.5C	1.10	3.33	0.33
rep5	28	7.5C	0.68	3.36	0.20
rep6	28	7.5C	0.59	3.63	0.16
rep7	28	7.5C	0.53	3.47	0.15
rep8	28	7.5C	0.56	3.04	0.18
rep9	28	7.5C	0.54	3.91	0.14
rep10	28	7.5C	0.78	3.14	0.25
rep1	28	10C	0.66	3.67	0.18
rep2	28	10C	0.71	3.85	0.18
rep3	28	10C	0.58	3.18	0.18
rep4	28	10C	0.48	3.69	0.13
rep5	28	10C	0.72	4.44	0.16
rep6	28	10C	0.52	3.49	0.15
rep7	28	10C	0.47	3.15	0.15
rep8	28	10C	0.58	3.61	0.16
rep9	28	10C	0.58	3.74	0.16
rep10	28	10C	0.48	3.62	0.13
rep1	28	dark	0.85	3.86	0.22
rep2	28	dark	0.39	3.10	0.13
rep3	28	dark	0.69	3.72	0.19
rep4	28	dark	0.63	3.79	0.17
rep5	28	dark	0.64	3.58	0.18
rep6	28	dark	0.91	4.60	0.20
rep7	28	dark	0.55	3.61	0.15
rep8	28	dark	0.51	3.36	0.15
rep9	28	dark	0.42	3.44	0.12
rep10	28	dark	0.30	3.43	0.09
rep1	42	m-2.5C	0.38	3.51	0.11
rep2	42	m-2.5C	0.39	3.42	0.11
rep3	42	m-2.5C	0.45	3.59	0.13
rep4	42	m-2.5C	0.40	3.21	0.12
rep5	42	m-2.5C	0.35	3.22	0.11
rep6	42	m-2.5C	0.36	3.12	0.12
rep7	42	m-2.5C	0.37	3.26	0.11
rep8	42	m-2.5C	0.46	3.52	0.13
rep9	42	m-2.5C	0.54	3.65	0.15
rep10	42	m-2.5C	0.53	3.65	0.15
rep1	42	0C	0.76	3.39	0.22
rep2	42	0C	0.67	2.96	0.23
rep3	42	0C	0.34	3.25	0.10
rep4	42	0C	0.41	3.28	0.13
rep5	42	0C	0.57	2.92	0.20
rep6	42	0C	0.39	3.52	0.11
rep7	42	0C	0.64	3.31	0.19
rep8	42	0C	0.48	3.05	0.16
rep9	42	0C	0.46	3.86	0.12
rep10	42	0C	0.88	3.22	0.27
rep1	42	2.5C	0.71	4.04	0.18
rep2	42	2.5C	0.52	3.48	0.15
