rep	time	treatment	embryo	endosperm	ratio
rep1	0	m-2.5C	0.38	3.53	0.107648725
rep2	0	m-2.5C	0.41	3.34	0.122754491
rep3	0	m-2.5C	0.71	4.22	0.168246445
rep4	0	m-2.5C	0.24	3.51	0.068376068
rep5	0	m-2.5C	0.43	3.25	0.132307692
rep6	0	m-2.5C	0.54	3.52	0.153409091
rep7	0	m-2.5C	0.28	3.36	0.083333333
rep8	0	m-2.5C	0.6	4.78	0.125523013
rep9	0	m-2.5C	0.34	3.59	0.094707521
rep10	0	m-2.5C	0.42	3.53	0.11898017
rep1	0	0C	0.38	3.53	0.107648725
rep2	0	0C	0.41	3.34	0.122754491
rep3	0	0C	0.71	4.22	0.168246445
rep4	0	0C	0.24	3.51	0.068376068
rep5	0	0C	0.43	3.25	0.132307692
rep6	0	0C	0.54	3.52	0.153409091
rep7	0	0C	0.28	3.36	0.083333333
rep8	0	0C	0.6	4.78	0.125523013
rep9	0	0C	0.34	3.59	0.094707521
rep10	0	0C	0.42	3.53	0.11898017
rep1	0	2.5C	0.38	3.53	0.107648725
rep2	0	2.5C	0.41	3.34	0.122754491
rep3	0	2.5C	0.71	4.22	0.168246445
rep4	0	2.5C	0.24	3.51	0.068376068
rep5	0	2.5C	0.43	3.25	0.132307692
rep6	0	2.5C	0.54	3.52	0.153409091
rep7	0	2.5C	0.28	3.36	0.083333333
rep8	0	2.5C	0.6	4.78	0.125523013
rep9	0	2.5C	0.34	3.59	0.094707521
rep10	0	2.5C	0.42	3.53	0.11898017
rep1	0	5C	0.38	3.53	0.107648725
rep2	0	5C	0.41	3.34	0.122754491
rep3	0	5C	0.71	4.22	0.168246445
rep4	0	5C	0.24	3.51	0.068376068
rep5	0	5C	0.43	3.25	0.132307692
rep6	0	5C	0.54	3.52	0.153409091
rep7	0	5C	0.28	3.36	0.083333333
rep8	0	5C	0.6	4.78	0.125523013
rep9	0	5C	0.34	3.59	0.094707521
rep10	0	5C	0.42	3.53	0.11898017
rep1	0	7.5C	0.38	3.53	0.107648725
rep2	0	7.5C	0.41	3.34	0.122754491
rep3	0	7.5C	0.71	4.22	0.168246445
rep4	0	7.5C	0.24	3.51	0.068376068
rep5	0	7.5C	0.43	3.25	0.132307692
rep6	0	7.5C	0.54	3.52	0.153409091
rep7	0	7.5C	0.28	3.36	0.083333333
rep8	0	7.5C	0.6	4.78	0.125523013
rep9	0	7.5C	0.34	3.59	0.094707521
rep10	0	7.5C	0.42	3.53	0.11898017
rep1	0	10C	0.38	3.53	0.107648725
rep2	0	10C	0.41	3.34	0.122754491
rep3	0	10C	0.71	4.22	0.168246445
rep4	0	10C	0.24	3.51	0.068376068
rep5	0	10C	0.43	3.25	0.132307692
rep6	0	10C	0.54	3.52	0.153409091
rep7	0	10C	0.28	3.36	0.083333333
rep8	0	10C	0.6	4.78	0.125523013
rep9	0	10C	0.34	3.59	0.094707521
rep10	0	10C	0.42	3.53	0.11898017
rep1	0	dark	0.38	3.53	0.107648725
rep2	0	dark	0.41	3.34	0.122754491
rep3	0	dark	0.71	4.22	0.168246445
rep4	0	dark	0.24	3.51	0.068376068
rep5	0	dark	0.43	3.25	0.132307692
rep6	0	dark	0.54	3.52	0.153409091
rep7	0	dark	0.28	3.36	0.083333333
rep8	0	dark	0.6	4.78	0.125523013
rep9	0	dark	0.34	3.59	0.094707521
rep10	0	dark	0.42	3.53	0.11898017
rep1	14	m-2.5C	0.31	3.05	0.101639344
rep2	14	m-2.5C	0.35	4.17	0.083932854
rep3	14	m-2.5C	0.3	2.91	0.103092784
rep4	14	m-2.5C	0.34	3.27	0.103975535
rep5	14	m-2.5C	0.25	3.09	0.080906149
rep6	14	m-2.5C	0.24	3.37	0.071216617
rep7	14	m-2.5C	0.22	3.03	0.072607261
rep8	14	m-2.5C	0.27	2.72	0.099264706
rep9	14	m-2.5C	0.29	3	0.096666667
rep10	14	m-2.5C	0.3	2.81	0.106761566
rep1	14	0C	0.31	3.04	0.101973684
rep2	14	0C	0.28	2.89	0.096885813
rep3	14	0C	0.29	3.13	0.092651757
rep4	14	0C	0.26	2.91	0.089347079
rep5	14	0C	0.41	3.91	0.104859335
rep6	14	0C	0.4	3.17	0.126182965
rep7	14	0C	0.31	3.17	0.097791798
rep8	14	0C	0.53	3.97	0.133501259
rep9	14	0C	0.42	2.31	0.181818182
rep10	14	0C	0.48	3.53	0.135977337
rep1	14	2.5C	0.29	3.15	0.092063492
rep2	14	2.5C	0.4	4.51	0.088691796
rep3	14	2.5C	0.4	3.41	0.117302053
rep4	14	2.5C	0.52	3.37	0.154302671
rep5	14	2.5C	0.44	3.31	0.132930514
rep6	14	2.5C	0.46	2.99	0.153846154
rep7	14	2.5C	0.33	3.12	0.105769231
rep8	14	2.5C	0.75	3.75	0.2
rep9	14	2.5C	0.64	4	0.16
rep10	14	2.5C	0.39	3.08	0.126623377
rep1	14	5C	0.54	3.29	0.164133739
