rep	time	treatment	embryo	endosperm	ratio
rep1	0	m2.5C	0.41	3.83	0.107049608
rep2	0	m2.5C	0.43	3.24	0.132716049
rep3	0	m2.5C	0.37	3.52	0.105113636
rep4	0	m2.5C	0.37	3.95	0.093670886
rep5	0	m2.5C	0.2	2.97	0.067340067
rep6	0	m2.5C	0.4	4.08	0.098039216
rep7	0	m2.5C	0.34	3.54	0.096045198
rep8	0	m2.5C	0.38	3.77	0.100795756
rep9	0	m2.5C	0.5	3.43	0.145772595
rep10	0	m2.5C	0.34	3.42	0.099415205
rep1	0	0C	0.41	3.83	0.107049608
rep2	0	0C	0.43	3.24	0.132716049
rep3	0	0C	0.37	3.52	0.105113636
rep4	0	0C	0.37	3.95	0.093670886
rep5	0	0C	0.2	2.97	0.067340067
rep6	0	0C	0.4	4.08	0.098039216
rep7	0	0C	0.34	3.54	0.096045198
rep8	0	0C	0.38	3.77	0.100795756
rep9	0	0C	0.5	3.43	0.145772595
rep10	0	0C	0.34	3.42	0.099415205
rep1	0	2.5C	0.41	3.83	0.107049608
rep2	0	2.5C	0.43	3.24	0.132716049
rep3	0	2.5C	0.37	3.52	0.105113636
rep4	0	2.5C	0.37	3.95	0.093670886
rep5	0	2.5C	0.2	2.97	0.067340067
rep6	0	2.5C	0.4	4.08	0.098039216
rep7	0	2.5C	0.34	3.54	0.096045198
rep8	0	2.5C	0.38	3.77	0.100795756
rep9	0	2.5C	0.5	3.43	0.145772595
rep10	0	2.5C	0.34	3.42	0.099415205
rep1	0	5C	0.41	3.83	0.107049608
rep2	0	5C	0.43	3.24	0.132716049
rep3	0	5C	0.37	3.52	0.105113636
rep4	0	5C	0.37	3.95	0.093670886
rep5	0	5C	0.2	2.97	0.067340067
rep6	0	5C	0.4	4.08	0.098039216
rep7	0	5C	0.34	3.54	0.096045198
rep8	0	5C	0.38	3.77	0.100795756
rep9	0	5C	0.5	3.43	0.145772595
rep10	0	5C	0.34	3.42	0.099415205
rep1	0	7.5C	0.41	3.83	0.107049608
rep2	0	7.5C	0.43	3.24	0.132716049
rep3	0	7.5C	0.37	3.52	0.105113636
rep4	0	7.5C	0.37	3.95	0.093670886
rep5	0	7.5C	0.2	2.97	0.067340067
rep6	0	7.5C	0.4	4.08	0.098039216
rep7	0	7.5C	0.34	3.54	0.096045198
rep8	0	7.5C	0.38	3.77	0.100795756
rep9	0	7.5C	0.5	3.43	0.145772595
rep10	0	7.5C	0.34	3.42	0.099415205
rep1	0	10C	0.41	3.83	0.107049608
