rep	time	treatment	embryo	endosperm	ratio
rep1	0	m-2.5C	0.21	2.58	0.08
rep2	0	m-2.5C	0.32	3.42	0.09
rep3	0	m-2.5C	0.41	3.07	0.13
rep4	0	m-2.5C	0.37	2.51	0.15
rep5	0	m-2.5C	0.26	2.32	0.11
rep6	0	m-2.5C	0.32	3.38	0.09
rep7	0	m-2.5C	0.35	2.63	0.13
rep8	0	m-2.5C	0.33	2.50	0.13
rep9	0	m-2.5C	0.31	2.55	0.12
rep10	0	m-2.5C	0.27	3.01	0.09
rep1	0	0C	0.21	2.58	0.08
rep2	0	0C	0.32	3.42	0.09
rep3	0	0C	0.41	3.07	0.13
rep4	0	0C	0.37	2.51	0.15
rep5	0	0C	0.26	2.32	0.11
rep6	0	0C	0.32	3.38	0.09
rep7	0	0C	0.35	2.63	0.13
rep8	0	0C	0.33	2.50	0.13
rep9	0	0C	0.31	2.55	0.12
rep10	0	0C	0.27	3.01	0.09
rep1	0	2.5C	0.21	2.58	0.08
rep2	0	2.5C	0.32	3.42	0.09
rep3	0	2.5C	0.41	3.07	0.13
rep4	0	2.5C	0.37	2.51	0.15
rep5	0	2.5C	0.26	2.32	0.11
rep6	0	2.5C	0.32	3.38	0.09
rep7	0	2.5C	0.35	2.63	0.13
rep8	0	2.5C	0.33	2.50	0.13
rep9	0	2.5C	0.31	2.55	0.12
rep10	0	2.5C	0.27	3.01	0.09
rep1	0	5C	0.21	2.58	0.08
rep2	0	5C	0.32	3.42	0.09
rep3	0	5C	0.41	3.07	0.13
rep4	0	5C	0.37	2.51	0.15
rep5	0	5C	0.26	2.32	0.11
rep6	0	5C	0.32	3.38	0.09
rep7	0	5C	0.35	2.63	0.13
rep8	0	5C	0.33	2.50	0.13
rep9	0	5C	0.31	2.55	0.12
rep10	0	5C	0.27	3.01	0.09
rep1	0	7.5C	0.21	2.58	0.08
rep2	0	7.5C	0.32	3.42	0.09
rep3	0	7.5C	0.41	3.07	0.13
rep4	0	7.5C	0.37	2.51	0.15
rep5	0	7.5C	0.26	2.32	0.11
rep6	0	7.5C	0.32	3.38	0.09
rep7	0	7.5C	0.35	2.63	0.13
rep8	0	7.5C	0.33	2.50	0.13
rep9	0	7.5C	0.31	2.55	0.12
rep10	0	7.5C	0.27	3.01	0.09
rep1	0	10C	0.21	2.58	0.08
rep2	0	10C	0.32	3.42	0.09
rep3	0	10C	0.41	3.07	0.13
rep4	0	10C	0.37	2.51	0.15
rep5	0	10C	0.26	2.32	0.11
rep6	0	10C	0.32	3.38	0.09
rep7	0	10C	0.35	2.63	0.13
rep8	0	10C	0.33	2.50	0.13
rep9	0	10C	0.31	2.55	0.12
rep10	0	10C	0.27	3.01	0.09
rep1	0	dark	0.21	2.58	0.08
rep2	0	dark	0.32	3.42	0.09
rep3	0	dark	0.41	3.07	0.13
rep4	0	dark	0.37	2.51	0.15
rep5	0	dark	0.26	2.32	0.11
rep6	0	dark	0.32	3.38	0.09
rep7	0	dark	0.35	2.63	0.13
rep8	0	dark	0.33	2.50	0.13
rep9	0	dark	0.31	2.55	0.12
rep10	0	dark	0.27	3.01	0.09
rep1	14	m-2.5C	0.29	2.70	0.11
rep2	14	m-2.5C	0.28	2.74	0.10
rep3	14	m-2.5C	0.53	2.78	0.19
rep4	14	m-2.5C	0.38	2.66	0.14
rep5	14	m-2.5C	0.31	2.63	0.12
rep6	14	m-2.5C	0.34	3.03	0.11
rep7	14	m-2.5C	0.52	2.94	0.18
rep8	14	m-2.5C	0.33	2.56	0.13
rep9	14	m-2.5C	0.31	2.37	0.13
rep10	14	m-2.5C	0.42	2.86	0.15
rep1	14	0C	0.45	2.31	0.19
rep2	14	0C	0.42	2.36	0.18
rep3	14	0C	0.47	2.85	0.16
rep4	14	0C	0.45	2.39	0.19
rep5	14	0C	0.47	3.01	0.16
rep6	14	0C	0.27	1.75	0.15
rep7	14	0C	0.36	2.87	0.13
rep8	14	0C	0.36	2.51	0.14
rep9	14	0C	0.37	2.58	0.14
rep10	14	0C	0.41	2.72	0.15
rep1	14	2.5C	0.56	2.85	0.20
rep2	14	2.5C	0.36	2.95	0.12
rep3	14	2.5C	0.41	2.47	0.17
rep4	14	2.5C	0.48	2.41	0.20
rep5	14	2.5C	0.43	2.55	0.17
rep6	14	2.5C	0.52	2.64	0.20
rep7	14	2.5C	0.37	2.09	0.18
rep8	14	2.5C	0.62	3.05	0.20
rep9	14	2.5C	0.38	2.25	0.17
rep10	14	2.5C	0.43	2.11	0.20
rep1	14	5C	0.33	2.15	0.15
rep2	14	5C	0.42	2.56	0.16
rep3	14	5C	0.55	2.55	0.22
rep4	14	5C	0.56	3.41	0.16
rep5	14	5C	0.53	2.28	0.23
rep6	14	5C	0.69	2.75	0.25
rep7	14	5C	0.56	2.73	0.21
rep8	14	5C	0.51	2.45	0.21
rep9	14	5C	0.38	3.00	0.13
rep10	14	5C	0.47	2.23	0.21
rep1	14	7.5C	0.48	3.04	0.16
rep2	14	7.5C	0.46	2.94	0.16
rep3	14	7.5C	0.56	2.08	0.27
rep4	14	7.5C	0.43	1.95	0.22
rep5	14	7.5C	0.46	2.57	0.18
rep6	14	7.5C	0.34	2.27	0.15
rep7	14	7.5C	0.42	3.42	0.12
rep8	14	7.5C	0.62	2.83	0.22
rep9	14	7.5C	0.54	3.08	0.18
rep10	14	7.5C	0.60	2.60	0.23
rep1	14	10C	0.42	2.79	0.15
rep2	14	10C	0.35	2.42	0.14
rep3	14	10C	0.41	2.43	0.17
rep4	14	10C	0.64	2.93	0.22
rep5	14	10C	0.59	2.74	0.22
rep6	14	10C	0.44	1.90	0.23
rep7	14	10C	0.49	2.90	0.17
rep8	14	10C	0.48	3.04	0.16
rep9	14	10C	0.52	2.82	0.18
rep10	14	10C	0.46	2.62	0.18
rep1	14	dark	0.49	2.48	0.20
rep2	14	dark	0.57	2.71	0.21
rep3	14	dark	0.42	2.61	0.16
rep4	14	dark	0.28	1.62	0.17
rep5	14	dark	0.47	2.20	0.21
rep6	14	dark	0.77	2.16	0.36
rep7	14	dark	0.46	2.32	0.20
rep8	14	dark	0.48	2.68	0.18
rep9	14	dark	0.33	2.40	0.14
rep10	14	dark	0.49	2.33	0.21
rep1	28	m-2.5C	0.41	2.70	0.15
rep2	28	m-2.5C	0.32	2.30	0.14
rep3	28	m-2.5C	0.34	2.83	0.12
rep4	28	m-2.5C	0.45	2.39	0.19
rep5	28	m-2.5C	0.41	2.88	0.14
rep6	28	m-2.5C	0.32	2.37	0.14
rep7	28	m-2.5C	0.30	2.87	0.10
rep8	28	m-2.5C	0.47	2.21	0.21
rep9	28	m-2.5C	0.47	2.67	0.18
rep10	28	m-2.5C	0.42	3.17	0.13
rep1	28	0C	0.58	2.55	0.23
rep2	28	0C	0.38	2.42	0.16
rep3	28	0C	0.72	2.51	0.29
rep4	28	0C	0.41	2.91	0.14
rep5	28	0C	0.60	2.62	0.23
rep6	28	0C	0.52	2.29	0.23
rep7	28	0C	0.34	2.90	0.12
rep8	28	0C	0.29	2.70	0.11
rep9	28	0C	0.46	2.36	0.19
rep10	28	0C	0.46	2.39	0.19
rep1	28	2.5C	0.84	3.12	0.27
rep2	28	2.5C	0.81	2.51	0.32
rep3	28	2.5C	0.73	2.60	0.28
rep4	28	2.5C	0.53	2.44	0.22
rep5	28	2.5C	0.67	2.80	0.24
rep6	28	2.5C	0.62	2.89	0.21
rep7	28	2.5C	0.73	2.97	0.25
rep8	28	2.5C	0.55	2.16	0.25
rep9	28	2.5C	0.73	2.45	0.30
rep10	28	2.5C	0.64	2.46	0.26
rep1	28	5C	0.93	3.12	0.30
rep2	28	5C	1.14	2.74	0.42
rep3	28	5C	0.58	2.67	0.22
rep4	28	5C	1.07	3.62	0.30
rep5	28	5C	0.75	2.50	0.30
rep6	28	5C	0.98	3.32	0.30
rep7	28	5C	1.28	2.76	0.46
rep8	28	5C	0.35	2.62	0.13
rep9	28	5C	0.72	2.38	0.30
rep10	28	5C	1.00	2.86	0.35
rep1	28	7.5C	0.81	3.02	0.27
rep2	28	7.5C	0.59	2.24	0.26
rep3	28	7.5C	1.12	2.24	0.50
rep4	28	7.5C	0.85	2.49	0.34
rep5	28	7.5C	0.77	3.00	0.26
rep6	28	7.5C	0.55	2.54	0.22
rep7	28	7.5C	0.97	2.99	0.32
rep8	28	7.5C	0.70	2.70	0.26
rep9	28	7.5C	0.59	2.51	0.24
rep10	28	7.5C	0.61	1.81	0.34
